"id"	"Uniprot"	"Symbol"	"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
258	"P12687"	"MRP7"	22.8904669101832	22.4848307595966	22.079266012938	23.3084145833405	23.2256746345579	22.7711855768173	-0.6169037039993	-2.14483026975475	-1.75761844381731	0.0985517629452258	0.121078754022637	0.0965893141632887	0.116819289225455	4	3.19307287071189	0.260826814183617	0.124090962855546	0.184789296540875	"Not Significant"	"Not Significant"	0.916932056858819	1.00633560242933
259	"P12695"	"LAT1"	21.2329806236955	20.3837422558574	20.8905225736512	21.7795654758791	21.9636694124912	21.3252044249485	-0.853731286704924	-2.74329938624208	-2.35835655033243	0.0517295943534463	0.049515341780845	0.0576089512386043	0.0537451055240571	4	3.19307287071189	0.260826814183617	0.145273781362344	0.196568862179949	"Not Significant"	"Not Significant"	1.30526021887549	1.2862609271728
266	"P14063"	"MRPL31"	23.3157565586817	21.9459595721326	22.2019180980573	22.2482646324621	21.6092797555849	22.5335740318917	0.35750526964429	0.712913089422506	0.767399824184945	0.515281928271895	0.467281560832233	0.357307478328335	0.333983241981092	4	3.19307287071189	0.260826814183617	0.377209808601079	0.325546300005227	"Not Significant"	"Not Significant"	0.330421356118444	0.287955088645895
270	"P14540"	"FBA1"	14.8799660796644	17.0287313431296	14.1125209574543	15.8278048965434	14.959621138604	16.5792864704686	-0.44849804178925	-0.45289445978441	-0.568431918038525	0.674103149434093	0.587041655498946	0.439634526224709	0.4070254744336	4	3.19307287071189	0.260826814183617	1.47101921394519	0.933803396800557	"Not Significant"	"Not Significant"	0.231331080845276	0.171273643817072
274	"P15179"	"MSD1"	16.8735162070147	16.6900252618514	15.5363079338986	18.4607998264715	14.8028192508162	17.0526105023642	-0.405460058962376	-0.354265332404463	-0.451736091145225	0.741026711967848	0.664766099754919	0.458085377570158	0.439118989562403	4	3.19307287071189	0.260826814183617	1.96485319211736	1.2084198157071	"Not Significant"	"Not Significant"	0.177331135831594	0.130166136621016
275	"P15202"	"CTA1"	18.6048355207562	18.5882754367233	16.7888967216273	22.4396168478922	22.7924916503234	22.4250621989072	-4.55838767267201	-7.41890351054817	-8.50697481774809	0.00176172516447201	5.25274877784938e-05	0.00715365694291607	0.000399101912745479	4	3.19307287071189	0.260826814183617	0.566284048722579	0.430688702157918	"Significant"	"Significant"	4.27961336961432	2.75406184215724
276	"P15424"	"MSS116"	23.6920024439943	23.9893653932851	23.9398403072877	22.4097120425924	23.1122574988167	22.1483338249695	1.3169682593962	4.35861021014988	3.68163995075127	0.0120752762009178	0.00747512899701652	0.0203695507020845	0.0109047847922091	4	3.19307287071189	0.260826814183617	0.136944883662351	0.191937240702065	"Not Significant"	"Not Significant"	2.12638130839362	1.91810292673275
279	"P16387"	"PDA1"	18.1894481646257	17.4806955495234	17.9098813674491	21.8889631841559	22.5468906928189	21.8372275395962	-4.23101877832428	-13.751967904086	-11.7425163395285	0.000162007572288153	5.95206009213684e-06	0.00213387458510801	0.000135670598462569	4	3.19307287071189	0.260826814183617	0.141987942035144	0.194741637912234	"Significant"	"Significant"	5.22533269279287	3.79046468591352
280	"P16451"	"PDX1"	17.6247811795958	17.7768056873845	18.6068244726121	15.4409989005403	19.2244209794358	18.7772232035667	0.188589418683195	0.153075040374733	0.196485128328713	0.885750739208581	0.849666910547173	0.517974028452189	0.525275231781442	4	3.19307287071189	0.260826814183617	2.27675939517314	1.38186791426635	"Not Significant"	"Not Significant"	0.0707512945945183	0.0526884765515748
282	"P16547"	"OM45"	24.1309268239093	23.9456560103883	23.6786336630499	24.837015748063	25.3302951625531	25.3771628606654	-1.26308575797801	-5.82110651925954	-3.92856412860473	0.00433685311019121	0.00538722240283517	0.0117412210986053	0.00850821911870584	4	3.19307287071189	0.260826814183617	0.0706229480683097	0.155056237667001	"Not Significant"	"Not Significant"	2.26863509493292	2.36282528721572
