"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd41_1"	"iBAQ.Kgd41_2"	"iBAQ.Kgd41_3"	"id"	"Uniprot"	"Symbol"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"gene"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
6619500	6212000	4608200	4917400	5821700	6571900	428	"P36534"	"MRPL40"	0.003445556861001	0.017085656519777	0.0108529660887914	0.98718653686905	0.991624643563463	0.525217985187545	0.531721060837969	4	3.47859151287114	0.254888530478237	0.0610023771683273	0.15118656843032	"MRPL40"	"Not Significant"	"Not Significant"	0.00365268881160118	0.00560077612622094
973140	1198800	845280	3143100	4698800	2415200	430	"P37292"	"SHM1"	-1.72560390367333	-5.4739398715631	-4.74612588456791	0.00542019318854433	0.00174737615689511	0.011783027522847	0.00353060644424421	4	3.47859151287114	0.254888530478237	0.149064230660632	0.198287337788157	"SHM1"	"Significant"	"Significant"	2.75761359457111	2.26598523390007
0	143930	0	37533	0	276720	431	"P37293"	"NAT2"	0.367864229468051	0.374221609303243	0.476549268415637	0.727232200778815	0.647293934861774	0.430089035736572	0.394924609728653	4	3.47859151287114	0.254888530478237	1.44946807545491	0.893821432707607	"NAT2"	"Not Significant"	"Not Significant"	0.188898462298313	0.138326899435513
659130	771670	0	2629600	2697400	2937700	433	"P37299"	"QCR10"	-2.92455897059211	-2.98444192528161	-3.79892744985868	0.0405602909154651	0.00594349307613142	0.0463503397307868	0.00824342473074728	4	3.47859151287114	0.254888530478237	1.44040878078513	0.88897597770224	"QCR10"	"Significant"	"Significant"	2.22595823888866	1.39189893872087
659490	490210	270590	2073700	1863700	1432900	435	"P38064"	"MRPL16"	-1.99474661204489	-4.86840752846878	-4.85467598895773	0.00822914700709927	0.00153152987946227	0.0149773692847326	0.00321350362716961	4	3.47859151287114	0.254888530478237	0.251821542963935	0.253248121313478	"MRPL16"	"Significant"	"Significant"	2.81487452588385	2.08464517928454
15360000	15264000	9687000	21250000	32685000	34515000	436	"P38071"	"ETR1"	-1.13329396113588	-3.63004358274929	-3.12913166007641	0.022159034487942	0.0152790828221166	0.0283130931171001	0.0179899687033034	4	3.47859151287114	0.254888530478237	0.146201803415005	0.196756339743564	"ETR1"	"Not Significant"	"Not Significant"	1.81590271495201	1.65444916658323
17156000	18484000	17032000	14209000	22447000	16249000	437	"P38077"	"ATP3"	0.0198531559461406	0.0995695299048459	0.0626862027797896	0.925476693075686	0.951659163162559	0.510677618971495	0.52265257276537	4	3.47859151287114	0.254888530478237	0.0596344823250755	0.150454936095061	"ATP3"	"Not Significant"	"Not Significant"	0.0215185663864215	0.0336345139138583
75147	28229	0	31234	55539	98195	440	"P38088"	"GRS1"	-0.0287833145023425	-0.0428723834981383	-0.0508724805485176	0.967858019127696	0.960759446777145	0.523516775636135	0.52576469049083	4	3.47859151287114	0.254888530478237	0.676110386121503	0.480183282795336	"GRS1"	"Not Significant"	"Not Significant"	0.0173853365924549	0.0141883472700194
4343500	5207100	3724400	4325500	3540200	5049200	442	"P38120"	"MRPS9"	0.0411978594665894	0.202213815218182	0.129478787392619	0.849617891362249	0.900392951489787	0.483747790121022	0.505828588366967	4	3.47859151287114	0.254888530478237	0.0622614049222448	0.151859972106267	"MRPS9"	"Not Significant"	"Not Significant"	0.0455679134283731	0.0707763507375525
12584000	12165000	10862000	4478400	5051000	6353400	447	"P38175"	"MRP21"	1.17743988786476	7.29900965974318	3.86185716227481	0.00187332873037725	0.00545665403568952	0.00688434225980859	0.00769868150469038	4	3.47859151287114	0.254888530478237	0.0390338034251076	0.139436455481693	"MRP21"	"Not Significant"	"Not Significant"	2.26307358060461	2.72738600625428
141940	0	0	97937	170210	109510	457	"P38705"	"DIA4"	-0.741092435248947	-1.23625640496315	-1.42295451149563	0.283994646132606	0.195095939755561	0.212408031455035	0.161261599800769	4	3.47859151287114	0.254888530478237	0.539037413986982	0.406868422959171	"DIA4"	"Not Significant"	"Not Significant"	0.709751768842815	0.546689847195859
17346	7903	0	51910	240860	160390	458	"P38714"	"MSR1"	-2.53435313947614	-2.184283220848	-2.83512524182511	0.0942921224065372	0.0235412569009914	0.0884442315683973	0.0260324986384724	4	3.47859151287114	0.254888530478237	2.01933149740559	1.19861862398081	"MSR1"	"Not Significant"	"Significant"	1.62817035327711	1.02552458868662
494170	140720	124870	2241200	892490	3878300	459	"P38744"	"YHL018W"	-3.26770875582554	-3.68748391949876	-4.62560688665194	0.0210651539017128	0.00202689367175042	0.0273460641481514	0.00399669306941499	4	3.47859151287114	0.254888530478237	1.17792509010769	0.748583931833343	"YHL018W"	"Significant"	"Significant"	2.69316903324249	1.67643536357628
800010	289970	121160	43967	0	86475	460	"P38746"	"YLF2"	2.44145942225634	2.88137483938334	3.58787343233925	0.0449509007662806	0.00794959143247951	0.0506542759157147	0.0104083699163202	4	3.47859151287114	0.254888530478237	1.07693814819319	0.694570048742822	"YLF2"	"Significant"	"Significant"	2.09965519124029	1.347261601063
2932500	2186700	2395200	2670700	1346800	4301300	461	"P38771"	"RRF1"	-0.00349792325560507	-0.00696769715525828	-0.00756430477378225	0.994774279988095	0.994162473816046	0.527525340324975	0.531721060837969	4	3.47859151287114	0.254888530478237	0.378036105409556	0.32075525135442	"RRF1"	"Not Significant"	"Not Significant"	0.00254263399746188	0.00227545199442674
5902000	3562100	2727000	6433400	9161400	7397500	462	"P38783"	"FYV4"	-0.975646874881007	-2.72004070525856	-2.53733467133204	0.0529846370225944	0.036774916788086	0.0549199493519782	0.0385811370943892	4	3.47859151287114	0.254888530478237	0.192985983755474	0.221779329840002	"FYV4"	"Not Significant"	"Not Significant"	1.43444830129291	1.2758500365031
18095	0	0	190030	711050	908740	463	"P38797"	"PTC7"	-3.37342143694428	-3.36172941168316	-4.2924746096317	0.0282594806648074	0.00308884054093754	0.0342215426439906	0.00537793511546821	4	3.47859151287114	0.254888530478237	1.5104520823698	0.926439343077457	"PTC7"	"Significant"	"Significant"	2.51020451124482	1.54883582360851
59770	85960	63312	48022	81038	203080	464	"P38825"	"TOM71"	-0.426901440957182	-0.678274434509986	-0.791486283880149	0.534809061221458	0.453028752623226	0.346846953463375	0.297765475826419	4	3.47859151287114	0.254888530478237	0.59420404589786	0.436374851711662	"TOM71"	"Not Significant"	"Not Significant"	0.343874233507398	0.271801243135668
4790000	3250900	2784800	13273000	12510000	8282900	465	"P38891"	"BAT1"	-1.66237662874274	-5.25875461430063	-4.56711632902432	0.00625979476119435	0.0021799170912819	0.0131919675378452	0.00419728997204832	4	3.47859151287114	0.254888530478237	0.149894016152191	0.198731156916468	"BAT1"	"Significant"	"Significant"	2.66156002358965	2.20343990569404
504930	84871	0	4044700	5298200	3985100	466	"P38910"	"HSP10"	-5.1718812385659	-4.82603924727993	-6.21136014734053	0.0084856689466567	0.000337526785979905	0.0151316015579622	0.00110480635230889	4	3.47859151287114	0.254888530478237	1.72268807533435	1.03995590169644	"HSP10"	"Significant"	"Significant"	3.47169175604286	2.07131391546885
24652000	13286000	10038000	14788000	13382000	12187000	467	"P38988"	"GGC1"	0.149006546271605	0.38080687829265	0.371437063926023	0.722707151714873	0.720613173542344	0.430089035736572	0.421512722177471	4	3.47859151287114	0.254888530478237	0.2296637161874	0.241396784473699	"GGC1"	"Not Significant"	"Not Significant"	0.142297802795671	0.141037647599778
11033000	12491000	8629700	11070000	18146000	13302000	474	"P39522"	"ILV3"	-0.389284513321677	-1.49429337684908	-1.14624970745619	0.209407270950612	0.287040910225351	0.170757145179848	0.215035669664083	4	3.47859151287114	0.254888530478237	0.101801404446163	0.173008339124771	"ILV3"	"Not Significant"	"Not Significant"	0.542056201457837	0.679008243006233
711890	764350	348400	356100	457240	430930	475	"P39533"	"ACO2"	0.477981591805331	1.26467529482969	1.21235033962446	0.27465288722179	0.262283355803337	0.207551704436782	0.199655001819461	4	3.47859151287114	0.254888530478237	0.214267119861008	0.233161759843784	"ACO2"	"Not Significant"	"Not Significant"	0.581229268357863	0.561215831203334
7514500	6334700	6171500	14030000	18904000	13605000	476	"P39676"	"YHB1"	-1.20618439695175	-6.86889536598801	-3.90246731135787	0.00235288984223704	0.00516546364925931	0.00727351213851245	0.00741570391189024	4	3.47859151287114	0.254888530478237	0.0462535285917091	0.143297998208917	"YHB1"	"Not Significant"	"Not Significant"	2.28689069035393	2.62839840517778
322310	197410	753070	18590000	19313000	12233000	478	"P39726"	"GCV3"	-5.49467262601049	-9.12140851821969	-10.5137793393343	0.000801459801154943	9.58416794116763e-06	0.0042799534253967	0.000142888390344231	4	3.47859151287114	0.254888530478237	0.544315986601488	0.409691720691329	"GCV3"	"Significant"	"Significant"	5.0184455848459	3.09611825568589
2555300	2555500	2746800	5853400	9080700	8090600	482	"P39952"	"OXA1"	-1.52782498129549	-7.92567264038314	-4.8578425505371	0.00137172055614824	0.00152568950428996	0.00591447787547097	0.00321350362716961	4	3.47859151287114	0.254888530478237	0.0557399034300366	0.148371881344264	"OXA1"	"Significant"	"Significant"	2.81653384140999	2.86273435312174
166590	39566	70538	430530	652430	244240	485	"P40008"	"FMP52"	-2.40170962765598	-3.29345602706243	-3.98369317361784	0.0301176635436254	0.00463222506618756	0.0356731052325801	0.00704228206256421	4	3.47859151287114	0.254888530478237	0.797679660698362	0.545205833829247	"FMP52"	"Significant"	"Significant"	2.33421034767684	1.52117872269275
