"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd41_1"	"iBAQ.Kgd41_2"	"iBAQ.Kgd41_3"	"id"	"Uniprot"	"Symbol"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"gene"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
840810	563850	879910	14763000	16426000	14151000	401	"P34227"	"PRX1"	-4.33533082992275	-20.280549393508	-13.7420488757139	3.49000152451688e-05	1.84293769646358e-06	0.000397598941828002	2.25370856267359e-05	4	3.26174390961326	0.248312115949008	0.0685450844708756	0.149290705270974	"PRX1"	"Significant"	"Significant"	5.73448934657118	4.45717438333047
988350	0	0	172970	0	527440	404	"P35180"	"TOM20"	0.0530203861458013	0.0290272378456041	0.0383427765102985	0.97823339229976	0.97044728704672	0.288635574807727	0.310280744585654	4	3.26174390961326	0.248312115949008	5.00455663960906	2.86820319603164	"TOM20"	"Not Significant"	"Not Significant"	0.0130280497310276	0.0095575164850859
1543800	959280	1403100	1488100	4247900	2445400	405	"P35191"	"MDJ1"	-0.965054723631767	-1.99089325108818	-2.13780148549063	0.117330817544687	0.0684557520488031	0.0501837066887663	0.0341086845028348	4	3.26174390961326	0.248312115949008	0.352451360948048	0.305675331339282	"MDJ1"	"Not Significant"	"Not Significant"	1.16459005405884	0.9305879032146
2107700	1273800	1816200	1909200	3613800	4446300	406	"P35996"	"MRPL38"	-0.884452935290842	-2.07818683460929	-2.11954767867121	0.106240713374834	0.0703546773644334	0.0467767692536717	0.0348777962019216	4	3.26174390961326	0.248312115949008	0.271688675012116	0.261188669765323	"MRPL38"	"Not Significant"	"Not Significant"	1.15270702422729	0.97370902180782
29563	93429	0	1800100	441630	833710	408	"P36013"	"MAE1"	-3.70577211186241	-4.45098522327859	-5.48668750441441	0.011238170077767	0.000811993867084377	0.00906414297060888	0.000971986307148243	4	3.26174390961326	0.248312115949008	1.03976781808041	0.684271142861898	"MAE1"	"Significant"	"Significant"	3.09044725093305	1.9493043996057
654410	817220	719390	240090	1639200	660050	410	"P36056"	"RSM22"	0.188874265481337	0.234404848550527	0.287368405620771	0.826180184352927	0.7818584065359	0.253529158686265	0.261036976068633	4	3.26174390961326	0.248312115949008	0.973875980613477	0.647975818605308	"RSM22"	"Not Significant"	"Not Significant"	0.106871889942668	0.082925225638036
6799100	4506700	3404300	6796800	14451000	8496200	411	"P36060"	"MCR1"	-0.999999146523603	-2.30535395964797	-2.37022749953248	0.0824521718012396	0.048325292322283	0.037762315231439	0.0249235060069655	4	3.26174390961326	0.248312115949008	0.282237870411583	0.266999502827338	"MCR1"	"Not Significant"	"Not Significant"	1.31582551022087	1.08379790049403
313700	262930	211320	20706	271040	304500	412	"P36101"	"TCD2"	1.11680827089484	0.874965826745494	1.13291232705425	0.430985214339851	0.293266624817558	0.152248231102088	0.117016952640205	4	3.26174390961326	0.248312115949008	2.44380370981294	1.45765886306163	"TCD2"	"Not Significant"	"Not Significant"	0.532737359052579	0.365537628773746
2949500	2067800	3173800	16803000	18718000	14059000	414	"P36141"	"FMP46"	-2.61188170385547	-11.5738288636577	-8.16179357052246	0.000318370039740658	6.54642625270873e-05	0.00146310863353641	0.000237991675105637	4	3.26174390961326	0.248312115949008	0.0763913443078716	0.153612675274134	"FMP46"	"Significant"	"Significant"	4.18399572020547	3.49706780835748
818480	874420	760550	0	2413900	820880	416	"P36151"	"YKR070W"	0.495111478730504	0.364418147875492	0.473984859818999	0.733993551867668	0.649431987403602	0.229884053250281	0.22605067988776	4	3.26174390961326	0.248312115949008	2.76883614932891	1.63669709055169	"YKR070W"	"Not Significant"	"Not Significant"	0.187466324255215	0.13430775534359
2487800	1890900	2158900	5722400	7984200	5441400	417	"P36516"	"MRPL3"	-1.53783536516479	-7.40056440978652	-4.90889851553837	0.00177825342931625	0.00156181009759941	0.00330755568890548	0.00163087855818152	4	3.26174390961326	0.248312115949008	0.0647710983337387	0.147211873417848	"MRPL3"	"Significant"	"Significant"	2.80637177364598	2.7500063451035
9478600	9252800	9247500	5993400	8547100	4411900	418	"P36519"	"MRPL7"	0.614472544663479	2.22712905431624	1.80192782747599	0.0898971198573415	0.113026273263784	0.0407623591101904	0.0513625890421228	4	3.26174390961326	0.248312115949008	0.114184053852104	0.174430104263444	"MRPL7"	"Not Significant"	"Not Significant"	0.946820591851106	1.04625422206099
3464700	2422600	2981400	554590	1706600	1470300	419	"P36520"	"MRPL10"	1.38951586356313	2.62137446888707	2.90285938470186	0.058714658805618	0.0219864581385191	0.028856647551761	0.0128459800050527	4	3.26174390961326	0.248312115949008	0.421463672515065	0.343689512189509	"MRPL10"	"Not Significant"	"Not Significant"	1.65784472674597	1.23125345848625
642240	534590	453210	1060700	1235400	943600	420	"P36521"	"MRPL11"	-0.996767150205628	-5.42464515059729	-3.26934002534594	0.00559972380971707	0.0129994817819485	0.00593441271062304	0.00839467142119574	4	3.26174390961326	0.248312115949008	0.0506449356782133	0.139430732782015	"MRPL11"	"Not Significant"	"Not Significant"	1.88607396028748	2.2518333927927
2808100	3861100	4274400	1347000	1279400	1237200	421	"P36523"	"MRPL15"	1.48067739231606	7.95961767637355	4.84447428927526	0.0013496190065677	0.00168481233922893	0.0028431417761681	0.0017049083996882	4	3.26174390961326	0.248312115949008	0.0519072157369362	0.14012603687119	"MRPL15"	"Not Significant"	"Not Significant"	2.77344846546093	2.86978881424425
11119000	9220500	11024000	8094100	9507200	11765000	422	"P36525"	"MRPL24"	0.106685137766692	0.594812553488607	0.35158520688383	0.583983272819378	0.735130966736441	0.189410337530962	0.250549465046732	4	3.26174390961326	0.248312115949008	0.0482546147147683	0.138114067808313	"MRPL24"	"Not Significant"	"Not Significant"	0.133635282597293	0.233599592316163
4840500	3645600	2258600	3350000	4344400	3968800	423	"P36526"	"MRPL27"	-0.178426584915066	-0.525995521996055	-0.480762868876827	0.626704611089148	0.644832573829066	0.201119481303692	0.225248495079874	4	3.26174390961326	0.248312115949008	0.172602185979191	0.206608673408386	"MRPL27"	"Not Significant"	"Not Significant"	0.190553032187919	0.202937109890415
